소재지(위치),Unnamed: 3,id,name,대여건수,반납건수,차이,차이율(%),"대여소
번호",lat,lon,"설치
시기",설치형태,Unnamed: 8,"운영
방식",type
,,0,천호 배송센터,,,,,0,37.5385095,127.1251279,,,,,depot
강동구,서울특별시 강동구 구천면로 171,1001,광진교 남단 사거리(천호공원 방면),30473,30365,108,0.355672649,1001,37.54179382,127.1247482,2017.4.19,15,,LCD,station
강동구,서울특별시 강동구 올림픽로 702,1002,해공공원(천호동),44653,45877,-1224,-2.668003575,1002,37.5452652,127.1259384,2017.4.19,10,,LCD,station
강동구,서울특별시 강동구 올림픽로 702,1003,해공도서관앞,21614,21568,46,0.213278932,1003,37.54395676,127.1254883,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 상암로3길 77,1004,삼성광나루아파트 버스정류장,30416,41135,-10719,-26.05810137,1004,37.55332947,127.1288681,2017.4.19,10,,LCD,station
강동구,서울특별시 강동구 양재대로 1665,1006,롯데캐슬 115동앞,4234,4114,120,2.916869227,1006,37.55486679,127.1427994,2017.4.19,10,,LCD,station
강동구,서울특별시 강동구 올림픽로 875,1007,암사동 선사유적지,3123,3147,-24,-0.762631077,1007,37.55955887,127.1308746,2017.4.19,14,,LCD,station
강동구,서울특별시 강동구 올림픽로 지하 776,1008,암사역 3번출구(국민은행앞),62528,74932,-12404,-16.55367533,1008,37.54935455,127.1270828,2017.4.19,9,,LCD,station
강동구,서울특별시 강동구 천호대로 지하 997,1009,천호역4번출구(현대백화점),98285,98119,166,0.169182319,1009,37.53866577,127.1242447,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 천호대로 1139,1010,강동세무서,59533,59634,-101,-0.169366469,1010,37.53450775,127.1384049,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 천호대로 1120,1011,LIGA 아파트 앞,69109,68917,192,0.278595992,1011,37.53474426,127.1352844,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 올림픽로 610,1012,천호역효성해링턴타워 앞,41884,40976,908,2.215931277,1012,37.53600693,127.1227264,2017.4.19,15,,LCD,station
강동구,서울특별시 강동구 올림픽로 지하 550,1013,강동구청역 1번 출입구,48619,48516,103,0.212301097,1013,37.53071594,127.1209869,2017.4.19,15,,LCD,station
강동구,서울특별시 강동구 구천면로 431-2,1015,샛마을 근린공원,16011,15869,142,0.894826391,1015,37.55003738,127.1469116,2017.4.19,13,,LCD,station
강동구,서울특별시 강동구 상일로 152,1016,해뜨는 주유소옆 리엔파크 109동앞,13053,13031,22,0.168828179,1016,37.55939865,127.1711807,2017.4.19,10,,LCD,station
강동구,서울특별시 강동구 천호대로 1207,1017,둔촌고교입구 교차로(길동주민센터 방면),33462,33790,-328,-0.970701391,1017,37.53544617,127.1451874,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 양재대로 1330,1018,둔촌 주공 GS 맞은편,12857,12965,-108,-0.833011955,1018,37.52458954,127.1354218,2017.6.22,20,15,QR,station
강동구,서울특별시 강동구 성내로 91,1019,다성이즈빌아파트(호원대 대각선 맞은편),83931,87975,-4044,-4.596760443,1019,37.52679443,127.1300583,2017.4.19,10,,LCD,station
강동구,서울특별시 강동구 성내로 57,1020,강동경찰서,76528,77361,-833,-1.076769949,1020,37.52825165,127.1268005,2017.4.19,15,,LCD,station
강동구,서울특별시 강동구 아리수로 419,1021,강일동 리슈빌 빌딩앞,28545,35286,-6741,-19.1038939,1021,37.56427383,127.1739731,2017.4.19,15,,LCD,station
강동구,서울특별시 강동구 양재대로 1441,1022,길동 사거리(초소앞),30541,30560,-19,-0.062172775,1022,37.53377914,127.1379929,2017.4.19,20,,LCD,station
강동구,서울특별시 강동구 상일동 504 ,1023,한국종합기술사옥 앞,41048,42363,-1315,-3.104123882,1023,37.54998398,127.1747055,2017.11.1,22,,LCD,station
강동구,서울특별시 성내동 546-3 ,1024,강동구청 앞,64836,65683,-847,-1.28952697,1024,37.52929688,127.1231537,2017.11.1,10,,LCD,station
강동구,서울특별시  상일동 440-3,1025,상일초등학교,13031,13097,-66,-0.503932198,1025,37.54684067,127.1725159,2017.11.1,10,,LCD,station
강동구,서울특별시 길동 176-3,1027,프라자 아파트 앞,18875,18767,108,0.575478233,1027,37.53596115,127.1478195,2017.11.1,20,,LCD,station
강동구,서울특별시 성내동 119-2,1028,포레스 주상복합 빌딩,33110,33044,66,0.199733688,1028,37.53310776,127.1227722,2017.11.1,10,,LCD,station
강동구,서울특별시 성내동  44-1,1029,성내어울터,57959,57593,366,0.635493897,1029,37.53655624,127.1255341,2017.11.1,7,,LCD,station
강동구,서울특별시 성내동 478,1030,미호 플랜트 앞,27123,27093,30,0.110729709,1030,37.52703094,127.1220627,2017.11.1,15,,LCD,station
강동구,서울특별시 암사동 440-13,1031,올림픽로 836(아리수로),7102,8521,-1419,-16.652975,1031,37.55582047,127.1299133,2017.11.1,15,,LCD,station
강동구,서울특별시 암사동 445,1032,선사고등학교,12195,13500,-1305,-9.666666667,1032,37.55672836,127.136261,2017.11.1,20,,LCD,station
강동구,서울특별시 고덕동 673,1033,고덕동 아남아파트,21523,16734,4789,28.61838174,1033,37.55793381,127.1447678,2017.11.1,10,17,QR,station
강동구,서울특별시 고덕동 603,1034,고덕동 래미안 힐스테이트,7919,6973,946,13.56661408,1034,37.5618782,127.1507874,2017.11.1,10,,LCD,station
강동구,서울특별시 명일동 46-5,1035,고덕역 4번출구,257,224,33,14.73214286,1035,37.55509567,127.1552811,2017.11.1,25,,LCD,station
강동구,서울특별시 명일동 48-2,1036,고덕동 주양쇼핑,21915,20635,1280,6.203053065,1036,37.55199051,127.1533127,2017.11.1,10,,LCD,station
강동구,서울특별시 강일동 448-2,1037,강일리버파크 6단지,4785,4828,-43,-0.890637945,1037,37.56256485,127.1776123,2017.11.1,10,,LCD,station
강동구,서울특별시 강일동 333-2,1038,강일 다솜 어린이 공원,5937,6530,-593,-9.081163859,1038,37.56863785,127.1748047,2017.11.1,10,,LCD,station
강동구,서울특별시 고덕동 215,1039,고덕초등학교,3349,3348,1,0.029868578,1039,37.56129837,127.1678467,2017.11.1,7,,LCD,station
강동구,서울특별시 고덕동 499-2,1041,묘곡초등학교,9636,9623,13,0.135093006,1041,37.55916214,127.1533203,2017.11.1,10,,LCD,station
강동구,서울특별시 강일동 63-20,1042,강일리버파크 2~5단지,11344,12564,-1220,-9.710283349,1042,37.5685463,127.1770096,2017.11.1,10,,LCD,station
강동구,서울특별시  양재대로 1572,1044,굽은다리역,80081,82678,-2597,-3.141101623,1044,37.54540634,127.1426773,2017.11.1,15,,LCD,station
강동구,서울특별시 강동구 진황도로 172,1048,둔촌어린이공원,25019,25190,-171,-0.67884081,1048,37.53099442,127.1423721,2018.1.16,13,,LCD,station
강동구,서울특별시 강동구 고덕로97길 20,1049,강일리버파크 10단지,12392,13769,-1377,-10.00072627,1049,37.561203,127.1802673,2018.1.16,10,,LCD,station
강동구,서울특별시 강동구 양재대로 1355,1050,둔촌역 3번 출입구,89956,90454,-498,-0.550556084,1050,37.52678299,127.1355743,2018.2.26,15,,LCD,station
강동구,서울특별시 강동구 고덕로 109,1051,"강일중,선사고 버스정류장(신암중학교 방면)",22070,22368,-298,-1.332260372,1051,37.55483627,127.1373215,2018.2.26,15,,LCD,station
강동구,고덕동 230,1053,동명근린공원 진입로 (아리수로),8522,8485,37,0.436063642,1053,37.56254578,127.1644821,2018.9.3,8,3,LCD,station
강동구,상일로 27길 14-7,1054,말우물 어린이 공원,5858,6509,-651,-10.00153633,1054,37.56002808,127.1696777,2018.9.3,5,,LCD,station
강동구,강일동 435-2,1056,강일리버파크 7~11단지,9758,10645,-887,-8.332550493,1056,37.56335449,127.1790543,2018.9.7,10,,LCD,station
강동구,상일동 482,1057,능골근린공원,13510,13485,25,0.185391175,1057,37.55580902,127.1737442,2018.9.10,15,,LCD,station
강동구,상일동 133,1058,고덕숲 아이파크 1,4905,4300,605,14.06976744,1058,37.55348206,127.1650543,2018.9.10,12,,LCD,station
강동구,강동구 천호동 166-56,1059,래미안 강동팰리스(102동),30687,22631,8056,35.5971897,1059,37.53822708,127.1317444,2018.10.25,15,,LCD,station
강동구,강동구 천호동 217-18,1060,천일초교 사거리,16097,15957,140,0.877357899,1060,37.5446701,127.1326752,2018.9.11,6,,LCD,station
강동구, 강동구 천호동 234-2,1061,천호초교 입구 사거리(일주빌딩),20376,20206,170,0.841334257,1061,37.54689789,127.1346664,2018.9.10,8,,LCD,station
강동구,강동구 고덕로 131,1063,강동롯데캐슬퍼스트 아파트(관리동),12419,12196,223,1.82846835,1063,37.55666351,127.1427383,2020.1.13,,10,QR,station
강동구,둔촌동 산17-4 ,1064,중앙보훈병원역 1번출구,8903,7085,1818,25.65984474,1064,37.52779388,127.147644,2020.1.9,,10,QR,station
강동구,동남로 635,1065,보훈병원 후문옆(더 원커피),8353,6550,1803,27.52671756,1065,37.53120804,127.1492691,2020.1.9,,10,QR,station
강동구,강동구 둔촌동 564,1066,생태공원앞 교차로(조명탑),3595,3088,507,16.41839378,1066,37.5377655,127.1520157,2020.1.9,,10,QR,station
강동구, 명일동 59 ,1067,한영중고앞사거리,9711,9254,457,4.938405014,1067,37.54903412,127.1560516,2020.1.15,,10,QR,station
강동구,동남로 895,1068,명일파출소,15725,13615,2110,15.49761293,1068,37.5536499,127.1562271,2020.1.14,,10,QR,station
강동구,고덕로 295,1070,(시립)고덕평생학습관,15716,15291,425,2.779412726,1070,37.55570221,127.1579208,2020.1.14,,10,QR,station
강동구,강동구 명일동 46-5,1072,고덕역 5번출구,36536,33063,3473,10.50418897,1072,37.55486298,127.1537247,2020.1.13,,22,QR,station
강동구,양재대로 1517,1073,SSTS 몰 앞,17597,17700,-103,-0.581920904,1073,37.54114532,127.1410523,2020.1.10,,7,QR,station
